ID;Nome;PastaOrigem;PastaDestino;PastaBackup
3036;Cliente-FATURA-HSJ;E:\PRODUCAO\Cliente\FATURA\HSJ\ENTRADA\;E:\PRODUCAO\BV\FATURA\FORMATAR_FATURA\PRINTNET\ENTRADA\;E:\PRODUCAO\Cliente\FATURA\HSJ\ENTRADA\BKP\
3037;Cliente-FATURA-WFD-EMAIL;E:\PRODUCAO\Cliente\FATURA\FORMATAR_FATURA\PRINTNET\ENTRADA\;\\HSLAN028-0\SAIDAS_BV_FAT\PDF_UNICO\;E:\PRODUCAO\Cliente\FATURA\ACTION\ENTRADA\
3038;Cliente-FATURA-WFD-EMAIL-ALEATORIO;E:\PRODUCAO\Cliente\FATURA\FORMATAR_FATURA\PRINTNET\ENTRADA\;\\HSLAN028-0\SAIDAS_BV_FAT\ALEATORIOS\;E:\PRODUCAO\Cliente\FATURA\INPUTBLOG\
3039;Cliente-FATURA-WFD-ARMAZENAMENTO;E:\PRODUCAO\Cliente\FATURA\FORMATAR_FATURA\PRINTNET\ENTRADA\;\\HSLAN028-0\SAIDAS_BV_FAT\PDF_UNICO\;E:\PRODUCAO\Cliente\FATURA\CARGA_ECM\
3040;Cliente-FATURA-WFD-ARMAZENAMNTO-ALEATORIO;E:\PRODUCAO\Cliente\FATURA\FORMATAR_FATURA\PRINTNET\ENTRADA\;\\HSLAN028-0\SAIDAS_BV_FAT\ALEATORIOS\;E:\PRODUCAO\Cliente\FATURA\INPUTBLOG\
3041;Cliente-FATURA-QUEBRAPDF-EMAIL;E:\PRODUCAO\Cliente\FATURA\SAIDAS\PDF_UNICO\;E:\PRODUCAO\BV\FATURA\SAIDAS\ECM\;E:\PRODUCAO\Cliente\FATURA\ACTION\ENTRADA\
3042;Cliente-FATURA-QUEBRAPDF-ARMAZENAMENTO;E:\PRODUCAO\Cliente\FATURA\SAIDAS\PDF_UNICO\;E:\PRODUCAO\BV\FATURA\SAIDAS\ECM\;E:\PRODUCAO\Cliente\FATURA\CARGA_ECM\
3043;Cliente-FATURA-ACTION-EMAIL 1a VIA;E:\PRODUCAO\Cliente\FATURA\ACTION\ENTRADA\; ;E:\PRODUCAO\Cliente\FATURA\CARGA_ECM\
3044;Cliente-FATURA-INPUBLOG-DIGITAL;E:\PRODUCAO\Cliente\FATURA\INPUTBLOG\;E:\PRODUCAO\BV\FATURA\SAIDAS\ALEATORIOS\;E:\PRODUCAO\Cliente\FATURA\PROCESSADOS\
3045;Cliente-FATURA-CARGAECM-DIGITAL;E:\PRODUCAO\Cliente\FATURA\CARGA_ECM\;E:\APLICATIVO\BV\FATURA\ECM_LOAD\Configs\;E:\PRODUCAO\Cliente\FATURA\DPREPORT\DPR_FIM_PROCESSAMENTO\
